category,task,confidence,original_review
other,Implement a human-vs-robot mode to reduce bullying from other players.,0.8,"I love the game a lot I just wish there was a mode on there that would be only humans against robots. I tell people all the time I am friendly and they will just kill me and steel all my stuff after I spent 20 min gathering materials. There is a lot of shady people that play this game and its sad because it will probably be the reason a lot of people stop playing. People just wanna play and do their missions and enjoy the game, not be bullied by ass holes that have nothing better to do."
netcode/desync,Optimize server synchronization and rebalance weapon damage curves,0.9,you go in with 2 man and end up with 3 man killing you really unfair and the guns are dog shit takes time to load up .....needs to be fixed up
netcode/desync,optimize server synchronization,0.95,DO IT
netcode/desync,optimize server synchronization,0.9,im arcing it im arcing it
pvp experience,Improve extraction process and reduce toxicity in gameplay,0.8,"while playing people are decent,   but then extracting  is a nightmare   with the most toxic sweaty try hards that are too lazy to do anything but grief other players just on the off hand they may have something  worth looting"
other,Add penalties to solo teaming,1.0,"great game just need to do so,ething abt the teaming in solos its solos for a reson make some kind of penalty ?"
weapon/ai balance,rebalance weapon damage curves,0.8,"quickest refund of my life. boring AI slop UE5 game where all you do is shoot at amazon drones and collect garbage. also the players cry in the voice chat when you kill them like you did something wrong, this is a pvp game dafuq did they expect? i was on some wild chronic to even think to buy this game in the first place"
netcode/desync,optimize server synchronization,0.8,PvP makes no sense from a lore perspective and is completely shoehorned in. Winning does not feel good. Losing feels much worse obviously. But regardless pvp retards will ruin the popularity of this game by mindlessly shooting and then getting murdered by the AI anyway. Wait for PvE servers.
netcode/desync,Optimize server synchronization for better PvP experience,0.8,Game sucks. PVP KOS slop with a new color. If you want any chance of PVE do NOT buy this game.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Game gets old fast. Maps while large lack any variety once you learn where the loot is, massive wasted space. PvPvE just doesn't work. Pick one and go with it but these together kill it for the PvE side who get served up to dedicated PvP who only camp the spawns/extractions waiting on the lambs. If this was geared for co-op play vs the the Arc it would be a better game or at least make dedicated area's or maps for each side."
other,Simplify game mechanics,0.8,spend 3 days getting some good stuff so you can stand a chance and all it takes is one thing and all that work is gone fun game to much farming
pve/mission loop,Add PvE mode,1.0,we need a pve mode
netcode/desync,Optimize server synchronization to reduce lag and improve weapon balance.,0.9,"the drones needs a nerf, everywhere i go and do they are there ALWAYSS, when i fight, when i loot, and trying to get away is a nightmare cause fighting them feels stupid when they are absolute bullet sponges and thats literally the only issue i have but my god the arcs are so annoying"
netcode/desync,Optimize server synchronization to reduce desync issues in PvP combat.,0.8,"What is the point of this game? Like we go in, get loot, now better equipped we get better loot or lose it all to pvp. What is the end game? What happens when you have the best loot and what do you use it for? The whole PvPvE concept all feels very half baked. It's like they had an idea for a PvE game, executed the idea 50% of the way through then added PvP."
netcode/desync,optimize server synchronization,0.8,we ran into another 3 player group and they proposed we team up to get to the top of the tower on spaceport. 20 minutes later we were 10 people fighting as an army against waves of drones on top of the world. good game
netcode/desync,optimize server synchronization,0.9,cant play the game it crashed 5 times in a row. what I did play was fun but still crashing is not fun :(
other,Fix the robot's functionality,1.0,robot
netcode/desync,optimize server synchronization,0.9,"This game is genuinely just one inconvenience after another. 5 minutes left, 700m from elevator. Very doable. Until you run into a massive land barrier with 8 barricaded doors, more arc drones than there are people in China, and elevators that have ONE TERMINAL on the most inconvenient side possible."
netcode/desync,Optimize server synchronization to reduce lag and improve overall performance.,0.9,Is gud
netcode/desync,optimize server synchronization,0.9,fuckk... im ARCing it so hard rn... fuhhhhh
netcode/desync,Optimize server synchronization to display more Snowglobes in Raider's room,0.9,"I wish that more Snowglobes would show up when I look at my Raider's room, only a max of 5 show up although I have 9 of them. (Fallout NewVegas)"
performance/fps,Optimize onboarding process for new players.,0.8,high learning curve. I feel like i dont know exactly what im supposed to do.
bugs/polish,Fix bugs in the game,0.9,"The game is fun and engaging, but there are some bugs that need fixing. The graphics could also be improved."
netcode/desync,optimize server synchronization to reduce lag and improve game balance,0.8,You literally can not play this game solo. The AI does too much damage and are 100% accurate just in the beginning area you start the game in. They can spot you from miles away it feels like. Don't buy this unless you have a full squad to play with. These devs do NOT know what balance is.
